1,lethanhtu,acc1,123,28/03/2003,lethanhtu@email.com,0947456455,1
2,tranthanhvu,acc2,123,16/05/2003,tranthanhvu@email.com,0875544888,1
3,lethanhtu,gv1,123,20-03-2003,lethanhtu@email.com,phone3,2
4,ledinhvan,gv2,123,20-03-2003,ledinhvan@email.com,phone4,2
5,admin,admin,123,16/05/1990,email5,phone5,0
6,tranquoctrung,acc6,123,28/03/2003,tranquoctrung@email.com,phone6,1
7,nguyenhoangtu,acc7,123,28/03/2003,nguyenhoangtu@email.com,phone7,1
8,ledinhvan,acc8,123,28/03/2003,ledinhvan@email.com,phone8,1
9,doducthien,gv3,123,20-03-2003,doducthien@gmail.com,phone9,2
10,hoang huy,username,password,22/05/2023,email@gmail.com,099999999999,1
